ObjectId,Last_Check,Current_Particulate_Matter_2_5_,PM_2_5_10_Minute_Avg_,PM_2_5_30_Minute_Avg_,PM_2_5_1_Hour_Avg_,PM_2_5_6_Hour_Avg_,PM_2_5_24_Hour_Avg_,PM_2_5_One_Week_Avg_,Temp__F_,Humidity____,Pressure__mbar_,Site_Label,Inside_Outside,Latitude,Longitude,Uptime__Seconds_
4878,2019/03/15 07:53:43+00,7.52,7.45,7.56,8.34,11.75,12.25,11.61,69,60,1004.41,Chapel Hill Public Library,outside,35.932522,-79.035728,27151
4879,2019/03/15 09:03:56+00,7,7.98,7.87,8.12,11.3,12.12,11.59,70,59,1004.37,Chapel Hill Public Library,outside,35.932522,-79.035728,3550
4880,2019/03/15 10:03:56+00,8.46,8.28,8.15,8.18,10.94,12,11.58,69,60,1005.05,Chapel Hill Public Library,outside,35.932522,-79.035728,7150
4881,2019/03/15 11:03:56+00,9.65,9.63,9.23,8.87,10.76,11.92,11.57,68,67,1004.49,Chapel Hill Public Library,outside,35.932522,-79.035728,10750
4882,2019/03/15 12:03:56+00,9.57,9.55,9.45,9.21,10.62,11.84,11.56,68,67,1004.24,Chapel Hill Public Library,outside,35.932522,-79.035728,14350
4883,2019/03/15 12:45:24+00,8.6,9.22,9.33,9.23,10.51,11.79,11.55,69,66,1004.41,Chapel Hill Public Library,outside,35.932522,-79.035728,510
4884,2019/03/15 14:03:59+00,8.63,8.77,9.04,9.1,10.41,11.75,11.54,72,61,1003.56,Chapel Hill Public Library,outside,35.932522,-79.035728,1550
4885,2019/03/15 15:03:55+00,9.15,8.78,8.78,8.89,10.23,11.67,11.53,73,58,1002.91,Chapel Hill Public Library,outside,35.932522,-79.035728,270
4886,2019/03/15 16:04:42+00,15.43,16.04,11.62,10.31,10.33,11.65,11.53,77,54,1002.2,Chapel Hill Public Library,outside,35.932522,-79.035728,3390
4887,2019/03/15 17:05:42+00,9.11,9.33,10.13,10,10.27,11.6,11.52,79,50,1001.76,Chapel Hill Public Library,outside,35.932522,-79.035728,1930
4888,2019/03/15 18:04:32+00,9.24,9.51,9.64,9.73,10.18,11.54,11.52,80,49,1000.69,Chapel Hill Public Library,outside,35.932522,-79.035728,5460
